| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Broad beans (Vicia faba)                                                               | 123       | 29.4        | 2.11   | 3.85      | 0.15  | 1.22        | 8.63    |
| Capsicum, green (Capsicum annuum)                                                      | 68        | 16.25       | 1.84   | 1.11      | 0.34  | 0.86        | 2.06    |
| Capsicum, red (Capsicum annuum)                                                        | 83        | 19.84       | 2.14   | 1.47      | 0.47  | 0.93        | 2.19    |
| Capsicum, yellow (Capsicum annuum)                                                     | 78        | 18.64       | 1.95   | 1.35      | 0.41  | 0.97        | 2.19    |
| Cauliflower (Brassica oleracea var. botrytis)                                          | 96        | 22.94       | 2.03   | 2.15      | 0.44  | 0.47        | 3.71    |
| Celery stalk (Apium graveolens)                                                        | 69        | 16.49       | 2.33   | 0.98      | 0.24  | 0.75        | 2.09    |
| Cho-cho-marrow (Sechium edule)                                                         | 79        | 18.88       | 3.47   | 0.66      | 0.15  | 0.76        | 1.55    |
| Cluster beans (Cyamopsis tetragonobola)                                                | 168       | 40.15       | 4.91   | 3.55      | 0.37  | 0.12        | 4.83    |
| Colocasia, stem, black (Colocasia esculenta)                                           | 100       | 23.9        | 3.83   | 0.76      | 0.34  | 0.53        | 3.01    |
| Colocasia, stem, green (Colocasia esculenta)                                           | 81        | 19.36       | 2.86   | 0.91      | 0.22  | 0.25        | 2.33    |
| Corn, Baby (Zea mays)                                                                  | 306       | 73.13       | 11.66  | 2.69      | 1.33  | 0.49        | 6.09    |
| Cucumber, green, elongate (Cucumis sativus)                                            | 82        | 19.6        | 3.48   | 0.71      | 0.16  | 0.27        | 2.14    |
| Cucumber, green, short (Cucumis sativus)                                               | 73        | 17.45       | 2.82   | 0.83      | 0.18  | 0.21        | 2.13    |
| Cucumber, orange, round (Cucumis sativus)                                              | 82        | 19.6        | 3.01   | 0.98      | 0.24  | 0.22        | 2.46    |
| Drumstick (Moringa oleifera)                                                           | 123       | 29.4        | 3.76   | 2.62      | 0.12  | 1.47        | 6.83    |
| Field beans, tender, broad (Vicia faba)                                                | 129       | 30.83       | 2.75   | 3.06      | 0.64  | 0.95        | 5.64    |
| Field beans, tender, lean (Vicia faba)                                                 | 140       | 33.46       | 2.85   | 3.71      | 0.6   | 0.76        | 6.19    |
| French beans, country (Phaseolus vulgaris)                                             | 102       | 24.38       | 2.68   | 2.49      | 0.26  | 1.06        | 4.38    |
| French beans, hybrid (Phaseolus vulgaris)                                              | 93        | 22.23       | 2.63   | 2.12      | 0.19  | 1           | 4.18    |
| Jack fruit, raw (Artocarpus heterophyllus)                                             | 110       | 26.29       | 3.48   | 1.98      | 0.35  | 2.02        | 7.69    |
| Jack fruit, seed, mature (Artocarpus heterophyllus)                                    | 322       | 76.96       | 11.81  | 5.79      | 0.44  | 2.23        | 8.63    |
| Knol - Khol (Brassica oleracea)                                                        | 67        | 16.01       | 1.39   | 1.58      | 0.35  | 0.43        | 2.75    |
| Kovai, big (Coccinia cordifolia)                                                       | 73        | 17.45       | 2.01   | 1.39      | 0.24  | 0.98        | 3       |
| Kovai, small (Coccinia cordifolia)                                                     | 80        | 19.12       | 2.41   | 1.22      | 0.24  | 1.07        | 3.25    |
| Ladies finger (Abelmoschus esculentus)                                                 | 115       | 27.49       | 3.62   | 2.08      | 0.22  | 0.48        | 4.08    |
| Mango, green, raw (Mangifera indica)                                                   | 205       | 49          | 10.59  | 0.69      | 0.08  | 2.42        | 3.01    |
| Onion, stalk (Allium cepa)                                                             | 107       | 25.57       | 2.99   | 2.07      | 0.26  | 0.41        | 5.21    |
| Papaya, raw (Carica papaya)                                                            | 100       | 23.9        | 4.4    | 0.5       | 0.23  | 3.63        | 2.28    |
| Parwar (Trichosanthes dioica)                                                          | 101       | 24.14       | 3.54   | 1.4       | 0.3   | 0.37        | 2.61    |
| Peas, fresh (Pisum sativum)                                                            | 340       | 81.26       | 11.88  | 7.25      | 0.13  | 0.97        | 6.32    |
| Plantain, flower (Musa x paradisiaca)                                                  | 89        | 21.27       | 2.15   | 1.47      | 0.63  | 0.17        | 5.25    |
